Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
spikelet number,216,20180524,281567,1,16,85,4,155,SNIPE,ST50PKT0YHJ7,6.00E+04,ST50PT0W3HD
spikelet number,216,20180524,281568,1,NA,85,5,172,WHISTLER,ST50PKT0YHJ6,6.00E+05,ST50PT0W3D3
spikelet number,216,20180524,281569,1,16,85,6,73,KULIN,ST50PKT0YHJ5,6.00E+06,ST50PT0W41V
spikelet number,216,20180524,281570,1,14,85,7,107,BEULAH,ST50PKT0YHJ4,6.00E+07,ST50PT0W3PD
spikelet number,216,20180524,281571,1,15,85,8,30,EAGLE,ST50PKT0YHJ3,6.00E+08,ST50PT0W4CS
spikelet number,216,20180524,281572,1,13,85,9,261,CORACK,ST50PKT0YHJ2,6.00E+09,ST50PT0W2VC
spikelet number,216,20180524,281573,1,15,85,10,259,KORD_CL_PLUS,ST50PKT0YHJ1,6.00E+10,ST50PT0W2VR
spikelet number,216,20180524,281574,1,17,85,11,142,CUNDERDIN,ST50PKT0YHJ0,6.00E+11,ST50PT0W3J9
spikelet number,216,20180524,281575,1,21,85,12,255,EGA_EAGLEHAWK,ST50PKT0YHHZ,6.00E+12,ST50PT0W2WJ
spikelet number,216,20180524,281576,1,14,86,1,168,PERSIA8(1),ST50PKT0YHHY,6F1,ST50PT0W3DW
spikelet number,216,20180524,281577,1,16,86,2,61,BAYONET,ST50PKT0YHHX,6F2,ST50PT0W445
spikelet number,216,20180524,281578,1,21,86,3,270,CD87,ST50PKT0YHHW,6F3,ST50PT0W2V6
spikelet number,216,20180524,281579,1,18,86,4,140,TAILORBIRD,ST50PKT0YHHV,6F4,ST50PT0W3JN
spikelet number,216,20180524,281580,1,15,86,5,175,MULGARA,ST50PKT0YHHT,6F5,ST50PT0W3CJ
spikelet number,216,20180524,281581,1,NA,86,6,35,WW15,ST50PKT0YHHS,6F6,ST50PT0W4BS
spikelet number,216,20180524,281582,1,15,86,7,23,YANDILLA,ST50PKT0YHHR,6F7,ST50PT0W4F3
spikelet number,216,20180524,281583,1,NA,86,8,219,GLOVER,ST50PKT0YHHQ,6F8,ST50PT0W34T
spikelet number,216,20180524,281584,1,17,86,9,164,POLAND9,ST50PKT0YHHP,6F9,ST50PT0W3FN
spikelet number,216,20180524,281585,1,10,86,10,265,DIRK,ST50PKT0YHHN,6F10,ST50PT0W2Q9
spikelet number,216,20180524,281586,1,17,86,11,153,HUNGARY6,ST50PKT0YHHM,6F11,ST50PT0W3HR
spikelet number,216,20180524,281587,1,18,86,12,104,BD231,ST50PKT0YHHL,6F12,ST50PT0W3PZ
spikelet number,216,20180524,281588,1,18,87,1,100,KATUNGA,ST50PKT0YHHK,6G1,ST50PT0W3SD
spikelet number,216,20180524,281589,1,57,87,2,260,SUNGUARD,ST50PKT0YHHJ,6G2,ST50PT0W2VH
spikelet number,216,20180524,281590,1,15,87,3,40,MADDEN,ST50PKT0YHHH,6G3,ST50PT0W49W
spikelet number,216,20180524,281591,1,17,87,4,61,BAYONET,ST50PKT0YHHG,6G4,ST50PT0W444
spikelet number,216,20180524,281592,1,NA,87,5,171,ABYSSINIA_AV12.4,ST50PKT0YHHF,6G5,ST50PT0W3D9
spikelet number,216,20180524,281593,1,16,87,6,279,PHANTOM,ST50PKT0YHHD,6G6,ST50PT0W2SJ
spikelet number,216,20180524,281594,1,NA,87,7,143,CARNAMAH,ST50PKT0YHHC,6G7,ST50PT0W3M9
spikelet number,216,20180524,281595,1,NA,87,8,202,STYLET,ST50PKT0YHHB,6G8,ST50PT0W3C9
spikelet number,216,20180524,281596,1,18,87,9,159,INDIA278,ST50PKT0YHH9,6G9,ST50PT0W3GL
spikelet number,216,20180524,281597,1,17,87,10,48,MILLEWA,ST50PKT0YHH8,6G10,ST50PT0W452
spikelet number,216,20180524,281598,1,18,87,11,117,BARUNGA,ST50PKT0YHH7,6G11,ST50PT0W3WJ
spikelet number,216,20180524,281599,1,14,87,12,75,LOWAN,ST50PKT0YHH6,6G12,ST50PT0W41H
spikelet number,216,20180524,281600,1,NA,88,1,259,KORD_CL_PLUS,ST50PKT0YHH5,6H1,ST50PT0W2VQ
spikelet number,216,20180524,281601,1,NA,88,2,220,EGA_BONNIE_ROCK,ST50PKT0YHH4,6H2,ST50PT0W34L
spikelet number,216,20180524,281602,1,NA,88,3,68,CRANBROOK,ST50PKT0YHH3,6H3,ST50PT0W42V
spikelet number,216,20180524,281603,1,15,88,4,13,STEINWEDEL,ST50PKT0YHH2,6H4,ST50PT0W48M
spikelet number,216,20180524,281604,1,NA,88,5,263,SHIELD,ST50PKT0YHH1,6H5,ST50PT0W2QR
spikelet number,216,20180524,281605,1,16,88,6,131,SUNVALE,ST50PKT0YHH0,6H6,ST50PT0W3N0
spikelet number,216,20180524,281606,1,16,88,7,8,ORION,ST50PKT0YHCR,6H7,ST50PT0W46D
spikelet number,216,20180524,281607,1,NA,88,8,263,SHIELD,ST50PKT0YHCQ,6H8,ST50PT0W2QQ
spikelet number,216,20180524,281608,1,15,88,9,31,TIMGALEN,ST50PKT0YHCP,6H9,ST50PT0W4CM
spikelet number,216,20180524,281609,1,15,88,10,30,EAGLE,ST50PKT0YHCN,6H10,ST50PT0W4CR
spikelet number,216,20180524,281610,1,17,88,11,40,MADDEN,ST50PKT0YHCM,6H11,ST50PT0W49V
spikelet number,216,20180524,281611,1,16,88,12,178,GILES,ST50PKT0YHCL,6H12,ST50PT0W39B
spikelet number,216,20180524,281613,1,15,89,2,188,BD225,ST50PKT0YHCJ,6I2,ST50PT0W37C
spikelet number,216,20180524,281614,1,NA,89,3,55,HARTOG,ST50PKT0YHCH,6I3,ST50PT0W40J
spikelet number,216,20180524,281617,1,21,89,6,1,FEDERATION,ST50PKT0YHCD,6I6,ST50PT0W47R
spikelet number,216,20180524,281619,1,22,89,8,171,ABYSSINIA_AV12.4,ST50PKT0YHCB,6I8,ST50PT0W3D8
spikelet number,216,20180524,281633,1,18,90,10,151,FRANCE26,ST50PKT0YHBW,6J10,ST50PT0W3J2
spikelet number,216,20180524,281645,1,21,91,10,154,DIAMONDBIRD,ST50PKT0YHBH,6K10,ST50PT0W3HK
spikelet number,216,20180524,281646,1,19,91,11,97,BATAVIA,ST50PKT0YHBG,6K11,ST50PT0W3SY
spikelet number,216,20180524,281647,1,20,91,12,26,FREE_GALLIPOLI,ST50PKT0YHBF,6K12,ST50PT0W4DL
spikelet number,216,20180524,281648,1,16,92,1,16,YAKTANA_54,ST50PKT0YHBD,6L1,ST50PT0W482
spikelet number,216,20180524,281651,1,22,92,4,1,FEDERATION,ST50PKT0YHB9,6L4,ST50PT0W47Q
spikelet number,216,20180524,281656,1,21,92,9,274,TENNANT,ST50PKT0YHGZ,6L9,ST50PT0W2TD
spikelet number,216,20180524,281657,1,18,92,10,251,DERRIMUT,ST50PKT0YHGY,6L10,ST50PT0W304
spikelet number,216,20180524,281659,1,20,92,12,105,TASMAN,ST50PKT0YHGW,6L12,ST50PT0W3PS
spikelet number,216,20180524,281661,1,19,93,2,128,VECTIS,ST50PKT0YHGT,6M2,ST50PT0W3NL
spikelet number,216,20180524,281663,1,24,93,4,169,PERSIA8(2),ST50PKT0YHGR,6M4,ST50PT0W3DP
spikelet number,216,20180524,281672,1,19,94,1,191,STRZELECKI,ST50PKT0YHGG,6N1,ST50PT0W36S
spikelet number,216,20180524,281689,1,15,95,6,159,INDIA278,ST50PKT0YHFX,6O6,ST50PT0W3GK
spikelet number,216,20180524,281692,1,21,95,9,41,MERLIN,ST50PKT0YHFT,6O9,ST50PT0W49M
spikelet number,216,20180524,281696,1,15,96,1,163,POLAND1,ST50PKT0YHFP,6P1,ST50PT0W3FS
spikelet number,216,20180524,281699,1,NA,96,4,115,AMERY,ST50PKT0YHFL,6P4,ST50PT0W3WX
spikelet number,216,20180524,281702,1,24,96,7,159,INDIA278,ST50PKT0YHFH,6P7,ST50PT0W3GJ
spikelet number,216,20180524,281706,1,24,96,11,169,PERSIA8(2),ST50PKT0YHB4,6P11,ST50PT0W3DN
spikelet number,216,20180524,281708,1,8,97,1,259,KORD_CL_PLUS,ST50PKT0YHB2,7A1,ST50PT0W2VP
spikelet number,216,20180524,281709,1,11,97,2,4,GABO,ST50PKT0YHB1,7A2,ST50PT0W474
spikelet number,216,20180524,281710,1,17,97,3,193,THORNBILL,ST50PKT0YHB0,7A3,ST50PT0W36D
spikelet number,216,20180524,281711,1,16,97,4,271,KUKRI,ST50PKT0YH9Z,7A4,ST50PT0W2V1
spikelet number,216,20180524,281712,1,15,97,5,147,KRICHAUFF,ST50PKT0YH9Y,7A5,ST50PT0W3LH
spikelet number,216,20180524,281713,1,19,97,6,205,ANNUELLO,ST50PKT0YH9X,7A6,ST50PT0W3BR
spikelet number,216,20180524,281714,1,17,97,7,65,SKUA,ST50PKT0YH9W,7A7,ST50PT0W43C
spikelet number,216,20180524,281715,1,NA,97,8,256,ESTOC,ST50PKT0YH9V,7A8,ST50PT0W2WB
spikelet number,216,20180524,281716,1,24,97,9,6,HUDSONS_EARLY_PURPLE_STRAW,ST50PKT0YH9T,7A9,ST50PT0W46S
spikelet number,216,20180524,281717,1,11,97,10,30,EAGLE,ST50PKT0YH9S,7A10,ST50PT0W4CQ
spikelet number,216,20180524,281718,1,23,97,11,69,WARBLER,ST50PKT0YH9R,7A11,ST50PT0W42L
spikelet number,216,20180524,281719,1,16,97,12,286,CMSS97MOO316S-OP20M-OP20Y-43M-0Y,ST50PKT0YH9Q,7A12,ST50PT0W2R2
spikelet number,216,20180524,281720,1,18,98,1,16,YAKTANA_54,ST50PKT0YH9P,7B1,ST50PT0W481
spikelet number,216,20180524,281721,1,NA,98,2,53,BODALLIN,ST50PKT0YH9N,7B2,ST50PT0W40T
spikelet number,216,20180524,281722,1,14,98,3,103,PASTOR,ST50PKT0YH9M,7B3,ST50PT0W3Q6
spikelet number,216,20180524,281723,1,21,98,4,11,RANEE,ST50PKT0YH9L,7B4,ST50PT0W48Z
spikelet number,216,20180524,281724,1,20,98,5,176,STURT,ST50PKT0YH9K,7B5,ST50PT0W39Q
spikelet number,216,20180524,281725,1,21,98,6,130,SWIFT,ST50PKT0YH9J,7B6,ST50PT0W3N5
spikelet number,216,20180524,281726,1,14,98,7,145,YANAC,ST50PKT0YH9H,7B7,ST50PT0W3LX
spikelet number,216,20180524,281727,1,NA,98,8,45,TINCURRIN,ST50PKT0YH9G,7B8,ST50PT0W45N
spikelet number,216,20180524,281728,1,10,98,9,52,AROONA,ST50PKT0YH9F,7B9,ST50PT0W413
spikelet number,216,20180524,281729,1,12,98,10,52,AROONA,ST50PKT0YH9D,7B10,ST50PT0W412
spikelet number,216,20180524,281730,1,15,98,11,266,RAVEN,ST50PKT0YH9C,7B11,ST50PT0W2Q5
spikelet number,216,20180524,281731,1,15,98,12,268,FRONTANA,ST50PKT0YH9B,7B12,ST50PT0W2PQ
spikelet number,216,20180524,281732,1,17,99,1,167,PERSIA28,ST50PKT0YH99,7C1,ST50PT0W3DZ
spikelet number,216,20180524,281733,1,20,99,2,37,MARINGA,ST50PKT0YH98,7C2,ST50PT0W4BF
spikelet number,216,20180524,281734,1,18,99,3,126,STILETTO,ST50PKT0YH97,7C3,ST50PT0W3NY
spikelet number,216,20180524,281735,1,17,99,4,210,DRYSDALE,ST50PKT0YH96,7C4,ST50PT0W2YF
spikelet number,216,20180524,281736,1,15,99,5,20,GHURKA,ST50PKT0YH95,7C5,ST50PT0W4FN
spikelet number,216,20180524,281737,1,17,99,6,47,WARIGAL,ST50PKT0YH94,7C6,ST50PT0W458
spikelet number,216,20180524,281738,1,14,99,7,190,LANG,ST50PKT0YH93,7C7,ST50PT0W370
spikelet number,216,20180524,281739,1,16,99,8,25,WW80,ST50PKT0YH92,7C8,ST50PT0W4DR
spikelet number,216,20180524,281740,1,16,99,9,128,VECTIS,ST50PKT0YH91,7C9,ST50PT0W3NK
spikelet number,216,20180524,281741,1,22,99,10,231,YENDA,ST50PKT0YH90,7C10,ST50PT0W32F
spikelet number,216,20180524,281742,1,15,99,11,266,RAVEN,ST50PKT0YH8Z,7C11,ST50PT0W2Q4
spikelet number,216,20180524,281743,1,19,99,12,236,EGA_KIDMAN,ST50PKT0YH8Y,7C12,ST50PT0W2ZX
spikelet number,216,20180524,281744,1,26,100,1,202,STYLET,ST50PKT0YH8X,7D1,ST50PT0W3C8
spikelet number,216,20180524,281745,1,NA,100,2,146,BUCKLEY,ST50PKT0YH8W,7D2,ST50PT0W3LS
spikelet number,216,20180524,281746,1,17,100,3,10,PURPLE_STRAW,ST50PKT0YH8V,7D3,ST50PT0W496
spikelet number,216,20180524,281747,1,13,100,4,57,TAKARI,ST50PKT0YH8T,7D4,ST50PT0W403
spikelet number,216,20180524,281748,1,26,100,5,202,STYLET,ST50PKT0YH8S,7D5,ST50PT0W3C7
spikelet number,216,20180524,281749,1,17,100,6,245,ENDURE,ST50PKT0YH8R,7D6,ST50PT0W31B
spikelet number,216,20180524,281750,1,19,100,7,236,EGA_KIDMAN,ST50PKT0YH8Q,7D7,ST50PT0W2ZW
spikelet number,216,20180524,281751,1,17,100,8,197,MITRE,ST50PKT0YH8P,7D8,ST50PT0W35M
spikelet number,216,20180524,281752,1,17,100,9,198,WESTONIA,ST50PKT0YH8N,7D9,ST50PT0W35D
spikelet number,216,20180524,281753,1,NA,100,10,212,WYALKATCHEM,ST50PKT0YH8M,7D10,ST50PT0W2Y1
spikelet number,216,20180524,281754,1,NA,100,11,271,KUKRI,ST50PKT0YH8L,7D11,ST50PT0W2V0
spikelet number,216,20180524,281755,1,16,100,12,161,ITALY29,ST50PKT0YH8K,7D12,ST50PT0W3G5
spikelet number,216,20180524,281756,1,14,101,1,190,LANG,ST50PKT0YHFC,7.00E+01,ST50PT0W36Z
spikelet number,216,20180524,281757,1,18,101,2,89,LARK,ST50PKT0YHFB,7.00E+02,ST50PT0W3R9
spikelet number,216,20180524,281758,1,NA,101,3,23,YANDILLA,ST50PKT0YHF9,7.00E+03,ST50PT0W4F2
spikelet number,216,20180524,281759,1,NA,101,4,141,SUNLIN,ST50PKT0YHF8,7.00E+04,ST50PT0W3JH
spikelet number,216,20180524,281760,1,NA,101,5,37,MARINGA,ST50PKT0YHF7,7.00E+05,ST50PT0W4BD
spikelet number,216,20180524,281761,1,18,101,6,55,HARTOG,ST50PKT0YHF6,7.00E+06,ST50PT0W40H
spikelet number,216,20180524,281762,1,NA,101,7,206,MAROMBI,ST50PKT0YHF5,7.00E+07,ST50PT0W3BJ
spikelet number,216,20180524,281763,1,20,101,8,80,TATIARA,ST50PKT0YHF4,7.00E+08,ST50PT0W3YW
spikelet number,216,20180524,281764,1,13,101,9,238,AXE,ST50PKT0YHF3,7.00E+09,ST50PT0W2ZG
spikelet number,216,20180524,281765,1,NA,101,10,40,MADDEN,ST50PKT0YHF2,7.00E+10,ST50PT0W49T
spikelet number,216,20180524,281766,1,17,101,11,155,SNIPE,ST50PKT0YHF1,7.00E+11,ST50PT0W3HC
spikelet number,216,20180524,281767,1,NA,101,12,82,WILGOYNE,ST50PKT0YHF0,7.00E+12,ST50PT0W3YG
spikelet number,216,20180524,281768,1,13,102,1,75,LOWAN,ST50PKT0YHDZ,7F1,ST50PT0W41G
spikelet number,216,20180524,281769,1,14,102,2,220,EGA_BONNIE_ROCK,ST50PKT0YHDY,7F2,ST50PT0W34K
spikelet number,216,20180524,281770,1,24,102,3,256,ESTOC,ST50PKT0YHDX,7F3,ST50PT0W2W9
spikelet number,216,20180524,281771,1,15,102,4,228,LIVINGSTON,ST50PKT0YHDW,7F4,ST50PT0W32Z
spikelet number,216,20180524,281772,1,18,102,5,217,GBA_RUBY,ST50PKT0YHDV,7F5,ST50PT0W2X2
spikelet number,216,20180524,281773,1,23,102,6,165,RUMANIA3,ST50PKT0YHDT,7F6,ST50PT0W3FF
spikelet number,216,20180524,281774,1,NA,102,7,136,TAMMIN,ST50PKT0YHDS,7F7,ST50PT0W3KC
spikelet number,216,20180524,281775,1,14,102,8,115,AMERY,ST50PKT0YHDR,7F8,ST50PT0W3WW
spikelet number,216,20180524,281776,1,16,102,9,232,BARHAM,ST50PKT0YHDQ,7F9,ST50PT0W328
spikelet number,216,20180524,281777,1,13,102,10,283,ZIPPY,ST50PKT0YHDP,7F10,ST50PT0W2RQ
spikelet number,216,20180524,281778,1,NA,102,11,131,SUNVALE,ST50PKT0YHDN,7F11,ST50PT0W3MZ
spikelet number,216,20180524,281779,1,17,102,12,103,PASTOR,ST50PKT0YHDM,7F12,ST50PT0W3Q5
spikelet number,216,20180524,281780,1,15,103,1,262,WALLUP,ST50PKT0YHDL,7G1,ST50PT0W2QY
spikelet number,216,20180524,281781,1,NA,103,2,24,INDIAN_G,ST50PKT0YHDK,7G2,ST50PT0W4DX
spikelet number,216,20180524,281782,1,24,103,3,6,HUDSONS_EARLY_PURPLE_STRAW,ST50PKT0YHDJ,7G3,ST50PT0W46R
spikelet number,216,20180524,281783,1,20,103,4,149,DALMATIA5,ST50PKT0YHDH,7G4,ST50PT0W3L3
spikelet number,216,20180524,281784,1,15,103,5,190,LANG,ST50PKT0YHDG,7G5,ST50PT0W36Y
spikelet number,216,20180524,281785,1,17,103,6,186,NYABING,ST50PKT0YHDF,7G6,ST50PT0W37R
spikelet number,216,20180524,281786,1,26,103,7,116,FRAME,ST50PKT0YHDD,7G7,ST50PT0W3WR
spikelet number,216,20180524,281787,1,25,103,8,270,CD87,ST50PKT0YHDC,7G8,ST50PT0W2V5
spikelet number,216,20180524,281788,1,NA,103,9,111,OUYEN,ST50PKT0YHDB,7G9,ST50PT0W3XR
spikelet number,216,20180524,281789,1,NA,103,10,165,RUMANIA3,ST50PKT0YHD9,7G10,ST50PT0W3FD
spikelet number,216,20180524,281790,1,21,103,11,180,CAMM,ST50PKT0YHD8,7G11,ST50PT0W38W
spikelet number,216,20180524,281791,1,18,103,12,187,ISRAEL493,ST50PKT0YHD7,7G12,ST50PT0W37J
spikelet number,216,20180524,281792,1,16,104,1,44,COOK,ST50PKT0YHD6,7H1,ST50PT0W45T
spikelet number,216,20180524,281793,1,17,104,2,207,YITPI,ST50PKT0YHD5,7H2,ST50PT0W3B8
spikelet number,216,20180524,281794,1,NA,104,3,166,NAVARRE56,ST50PKT0YHD4,7H3,ST50PT0W3F7
spikelet number,216,20180524,281795,1,20,104,4,68,CRANBROOK,ST50PKT0YHD3,7H4,ST50PT0W42T
spikelet number,216,20180524,281796,1,20,104,5,67,SUNELG,ST50PKT0YHD2,7H5,ST50PT0W42Z
spikelet number,216,20180524,281797,1,21,104,6,165,RUMANIA3,ST50PKT0YHD1,7H6,ST50PT0W3FC
spikelet number,216,20180524,281798,1,18,104,7,156,GOLDMARK,ST50PKT0YHD0,7H7,ST50PT0W3H4
spikelet number,216,20180524,281799,1,15,104,8,212,WYALKATCHEM,ST50PKT0YHCZ,7H8,ST50PT0W2Y0
spikelet number,216,20180524,281800,1,16,104,9,258,JUSTICA_CL_PLUS,ST50PKT0YHCY,7H9,ST50PT0W2VW
spikelet number,216,20180524,281801,1,NA,104,10,231,YENDA,ST50PKT0YHCX,7H10,ST50PT0W32D
spikelet number,216,20180524,281802,1,14,104,11,82,WILGOYNE,ST50PKT0YHCW,7H11,ST50PT0W3YF
spikelet number,216,20180524,281803,1,NA,104,12,90,CORRIGIN,ST50PKT0YHCV,7H12,ST50PT0W3R1
spikelet number,216,20180524,281804,1,13,105,1,219,GLOVER,ST50PKT0YHCT,7I1,ST50PT0W34S
spikelet number,216,20180524,281805,1,12,105,2,31,TIMGALEN,ST50PKT0YHCS,7I2,ST50PT0W4CL
spikelet number,216,20180524,281806,1,12,105,3,112,CASCADES,ST50PKT0YH8J,7I3,ST50PT0W3XJ
spikelet number,216,20180524,281807,1,16,105,4,70,BLADE,ST50PKT0YH8H,7I4,ST50PT0W42G
spikelet number,216,20180524,281808,1,16,105,5,119,RAC655,ST50PKT0YH8G,7I5,ST50PT0W3W4
spikelet number,216,20180524,281809,1,22,105,6,170,AZERBAIJAN_W73337,ST50PKT0YH8F,7I6,ST50PT0W3DG
spikelet number,216,20180524,281810,1,14,105,7,86,COBRA,ST50PKT0YH8D,7I7,ST50PT0W3RV
spikelet number,216,20180524,281811,1,12,105,8,112,CASCADES,ST50PKT0YH8C,7I8,ST50PT0W3XH
spikelet number,216,20180524,281812,1,15,105,9,243,MACE,ST50PKT0YH8B,7I9,ST50PT0W31P
spikelet number,216,20180524,281813,1,14,105,10,191,STRZELECKI,ST50PKT0YH89,7I10,ST50PT0W36R
spikelet number,216,20180524,281814,1,15,105,11,276,BINNU,ST50PKT0YH88,7I11,ST50PT0W2T2
spikelet number,216,20180524,281815,1,20,105,12,149,DALMATIA5,ST50PKT0YH87,7I12,ST50PT0W3L2
spikelet number,216,20180524,281816,1,17,106,1,38,CONDOR,ST50PKT0YH86,7J1,ST50PT0W4B6
spikelet number,216,20180524,281817,1,19,106,2,140,TAILORBIRD,ST50PKT0YH85,7J2,ST50PT0W3JM
spikelet number,216,20180524,281818,1,19,106,3,29,HALBERD,ST50PKT0YH84,7J3,ST50PT0W4CZ
spikelet number,216,20180524,281819,1,19,106,4,59,SPEAR,ST50PKT0YH83,7J4,ST50PT0W44H
spikelet number,216,20180524,281820,1,17,106,5,194,PARDALOTE,ST50PKT0YH82,7J5,ST50PT0W365
spikelet number,216,20180524,281821,1,15,106,6,222,RAC875,ST50PKT0YH81,7J6,ST50PT0W347
spikelet number,216,20180524,281822,1,19,106,7,249,EGA_BOUNTY,ST50PKT0YH80,7J7,ST50PT0W30K
spikelet number,216,20180524,281823,1,28,106,8,148,GREECE22,ST50PKT0YH7Z,7J8,ST50PT0W3LB
spikelet number,216,20180524,281824,1,19,106,9,141,SUNLIN,ST50PKT0YH7Y,7J9,ST50PT0W3JG
spikelet number,216,20180524,281825,1,15,106,10,198,WESTONIA,ST50PKT0YH7X,7J10,ST50PT0W35C
spikelet number,216,20180524,281826,1,18,106,11,146,BUCKLEY,ST50PKT0YH7W,7J11,ST50PT0W3LR
spikelet number,216,20180524,281827,1,17,106,12,98,EXCALIBUR,ST50PKT0YH7V,7J12,ST50PT0W3SR
spikelet number,216,20180524,281828,1,15,107,1,264,GRENADE_CL_PLUS,ST50PKT0YH7T,7K1,ST50PT0W2QK
spikelet number,216,20180524,281829,1,17,107,2,279,PHANTOM,ST50PKT0YH7S,7K2,ST50PT0W2SH
spikelet number,216,20180524,281830,1,23,107,3,169,PERSIA8(2),ST50PKT0YH7R,7K3,ST50PT0W3DM
spikelet number,216,20180524,281831,1,17,107,4,43,OXLEY,ST50PKT0YH7Q,7K4,ST50PT0W460
spikelet number,216,20180524,281832,1,30,107,5,148,GREECE22,ST50PKT0YH7P,7K5,ST50PT0W3L9
spikelet number,216,20180524,281833,1,17,107,6,179,BOWIE,ST50PKT0YH7N,7K6,ST50PT0W392
spikelet number,216,20180524,281834,1,15,107,7,143,CARNAMAH,ST50PKT0YH7M,7K7,ST50PT0W3M7
spikelet number,216,20180524,281835,1,13,107,8,252,PEAKE,ST50PKT0YH7L,7K8,ST50PT0W2PB
spikelet number,216,20180524,281836,1,18,107,9,71,MACHETE,ST50PKT0YH7K,7K9,ST50PT0W427
spikelet number,216,20180524,281837,1,17,107,10,222,RAC875,ST50PKT0YH7J,7K10,ST50PT0W346
spikelet number,216,20180524,281838,1,NA,107,11,73,KULIN,ST50PKT0YH7H,7K11,ST50PT0W41S
spikelet number,216,20180524,281839,1,13,107,12,252,PEAKE,ST50PKT0YH7G,7K12,ST50PT0W2P9
spikelet number,216,20180524,281840,1,13,108,1,216,GS50A,ST50PKT0YH7F,7L1,ST50PT0W2X8
spikelet number,216,20180524,281841,1,15,108,2,178,GILES,ST50PKT0YH7D,7L2,ST50PT0W399
spikelet number,216,20180524,281842,1,12,108,3,271,KUKRI,ST50PKT0YH7C,7L3,ST50PT0W2TZ
spikelet number,216,20180524,281843,1,11,108,4,19,ETAWAH,ST50PKT0YH7B,7L4,ST50PT0W4FX
spikelet number,216,20180524,281844,1,17,108,5,205,ANNUELLO,ST50PKT0YH79,7L5,ST50PT0W3BQ
spikelet number,216,20180524,281845,1,18,108,6,10,PURPLE_STRAW,ST50PKT0YH78,7L6,ST50PT0W495
spikelet number,216,20180524,281846,1,15,108,7,282,YANDANOOKA,ST50PKT0YH77,7L7,ST50PT0W2RX
spikelet number,216,20180524,281847,1,19,108,8,214,ELLISON,ST50PKT0YH76,7L8,ST50PT0W2XP
spikelet number,216,20180524,281848,1,18,108,9,206,MAROMBI,ST50PKT0YH75,7L9,ST50PT0W3BH
spikelet number,216,20180524,281849,1,15,108,10,269,GLUYAS_EARLY,ST50PKT0YH74,7L10,ST50PT0W2PJ
spikelet number,216,20180524,281850,1,NA,108,11,104,BD231,ST50PKT0YH73,7L11,ST50PT0W3PY
spikelet number,216,20180524,281851,1,15,108,12,18,DUNDEE,ST50PKT0YH72,7L12,ST50PT0W4G2
spikelet number,216,20180524,281852,1,18,109,1,213,EGA_WEDGETAIL,ST50PKT0YH71,7M1,ST50PT0W2XX
spikelet number,216,20180524,281853,1,15,109,2,237,SENTINEL,ST50PKT0YH70,7M2,ST50PT0W2ZM
spikelet number,216,20180524,281854,1,16,109,3,28,LANCER,ST50PKT0YH6Z,7M3,ST50PT0W4D4
spikelet number,216,20180524,281855,1,16,109,4,171,ABYSSINIA_AV12.4,ST50PKT0YH6Y,7M4,ST50PT0W3D7
spikelet number,216,20180524,281856,1,18,109,5,74,ROSELLA,ST50PKT0YH6X,7M5,ST50PT0W41M
spikelet number,216,20180524,281857,1,13,109,6,199,BROOKTON,ST50PKT0YH6W,7M6,ST50PT0W357
spikelet number,216,20180524,281858,1,15,109,7,217,GBA_RUBY,ST50PKT0YH6V,7M7,ST50PT0W2X1
spikelet number,216,20180524,281859,1,22,109,8,242,FANG,ST50PKT0YH6T,7M8,ST50PT0W2YQ
spikelet number,216,20180524,281860,1,13,109,9,15,WARDS_PROLIFIC,ST50PKT0YH6S,7M9,ST50PT0W486
spikelet number,216,20180524,281861,1,14,109,10,150,FRANCE14,ST50PKT0YH6R,7M10,ST50PT0W3KY
spikelet number,216,20180524,281862,1,17,109,11,120,CL2,ST50PKT0YH6Q,7M11,ST50PT0W3VY
spikelet number,216,20180524,281863,1,19,109,12,56,MATONG,ST50PKT0YH6P,7M12,ST50PT0W407
spikelet number,216,20180524,281864,1,15,110,1,1,FEDERATION,ST50PKT0YH6N,7N1,ST50PT0W47P
spikelet number,216,20180524,281865,1,16,110,2,74,ROSELLA,ST50PKT0YH6M,7N2,ST50PT0W41L
spikelet number,216,20180524,281866,1,15,110,3,214,ELLISON,ST50PKT0YH6L,7N3,ST50PT0W2XN
spikelet number,216,20180524,281867,1,17,110,4,36,SONORA_64,ST50PKT0YH6K,7N4,ST50PT0W4BM
spikelet number,216,20180524,281868,1,17,110,5,6,HUDSONS_EARLY_PURPLE_STRAW,ST50PKT0YH6J,7N5,ST50PT0W46Q
spikelet number,216,20180524,281869,1,19,110,6,127,TRIDENT,ST50PKT0YH6H,7N6,ST50PT0W3NT
spikelet number,216,20180524,281870,1,17,110,7,101,WEAVER,ST50PKT0YH6G,7N7,ST50PT0W3QJ
spikelet number,216,20180524,281871,1,14,110,8,220,EGA_BONNIE_ROCK,ST50PKT0YH6F,7N8,ST50PT0W34J
spikelet number,216,20180524,281872,1,25,110,9,85,KELALAC,ST50PKT0YH6D,7N9,ST50PT0W3S3
spikelet number,216,20180524,281873,1,11,110,10,19,ETAWAH,ST50PKT0YH6C,7N10,ST50PT0W4FW
spikelet number,216,20180524,281874,1,15,110,11,199,BROOKTON,ST50PKT0YH6B,7N11,ST50PT0W356
