Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
Flowering Date,196,20180725,280606,1,20180806,5,3,283,ZIPPY,ST50PKT0YJKV,1.00E+03,ST50PT0W2RS
Flowering Date,196,20180725,280607,1,20180806,5,4,105,TASMAN,ST50PKT0YJKT,1.00E+04,ST50PT0W3PX
Flowering Date,196,20180725,280608,1,20180831,5,5,88,JANZ,ST50PKT0YJKS,1.00E+05,ST50PT0W3RL
Flowering Date,196,20180725,280609,1,20180808,5,6,275,WYALKATCHEM_HE,ST50PKT0YJKR,1.00E+06,ST50PT0W2TC
Flowering Date,196,20180725,280610,1,20180810,5,7,266,RAVEN,ST50PKT0YJKQ,1.00E+07,ST50PT0W2Q8
Flowering Date,196,20180725,280611,1,20180829,5,8,195,CHARA,ST50PKT0YJKP,1.00E+08,ST50PT0W363
Flowering Date,196,20180725,280612,1,20180827,5,9,273,QUARRION,ST50PKT0YJKN,1.00E+09,ST50PT0W2TQ
Flowering Date,196,20180725,280613,1,20180824,5,10,269,GLUYAS_EARLY,ST50PKT0YJKM,1.00E+10,ST50PT0W2PP
Flowering Date,196,20180725,280614,1,NA,5,11,46,LANCE,ST50PKT0YJKL,1.00E+11,ST50PT0W45J
Flowering Date,196,20180725,280615,1,20180831,5,12,44,COOK,ST50PKT0YJKK,1.00E+12,ST50PT0W45X
Flowering Date,196,20180725,280616,1,20180808,6,1,86,COBRA,ST50PKT0YJKJ,1F1,ST50PT0W3RZ
Flowering Date,196,20180725,280617,1,NA,6,2,35,WW15,ST50PKT0YJKH,1F2,ST50PT0W4BX
Flowering Date,196,20180725,280619,1,20180810,6,4,32,KITE,ST50PKT0YJKF,1F4,ST50PT0W4CH
Flowering Date,196,20180725,280620,1,20180820,6,5,158,BAXTER,ST50PKT0YJKD,1F5,ST50PT0W3GW
Flowering Date,196,20180725,280621,1,20180924,6,6,144,SUNBROOK,ST50PKT0YJKC,1F6,ST50PT0W3M4
Flowering Date,196,20180725,280622,1,20180827,6,7,206,MAROMBI,ST50PKT0YJKB,1F7,ST50PT0W3BM
Flowering Date,196,20180725,280623,1,20180806,6,8,238,AXE,ST50PKT0YJK9,1F8,ST50PT0W2ZL
Flowering Date,196,20180725,280624,1,20180820,6,9,71,MACHETE,ST50PKT0YJK8,1F9,ST50PT0W42B
Flowering Date,196,20180725,280625,1,20181008,6,10,214,ELLISON,ST50PKT0YJK7,1F10,ST50PT0W2XS
Flowering Date,196,20180725,280627,1,20180824,6,12,209,QT7208,ST50PKT0YJK5,1F12,ST50PT0W3B1
Flowering Date,196,20180725,280628,1,20180808,7,1,62,COCAMBA,ST50PKT0YJK4,1G1,ST50PT0W442
Flowering Date,196,20180725,280629,1,20180824,7,2,254,EGA_WILLS,ST50PKT0YJK3,1G2,ST50PT0W2WT
Flowering Date,196,20180725,280630,1,20180806,7,3,142,CUNDERDIN,ST50PKT0YJK2,1G3,ST50PT0W3JC
Flowering Date,196,20180725,280631,1,20180806,7,4,203,LORIKEET,ST50PKT0YJK1,1G4,ST50PT0W3C6
