fpNodeId,Row,Column,line id,line name,packet_stemid,position,pot_stemid,Flowering Date_20180524.40.1,Flowering Date_20180725.15.1,Flowering Date_20180817.2.1,final leaf number_20180524.41.1,final leaf number_20181204.26.1,final leaf number_20181210.31.1,spikelet number_20180524.42.1,spikelet number_20181204.27.1,spikelet number_20181210.32.1,Height_20180524.43.1,Height_20181204.28.1,Height_20181210.33.1,tillers_20180524.44.1,tillers_20181204.29.1,tillers_20181210.34.1,empty spikelets_20180524.45.1,empty spikelets_20181204.30.1,empty spikelets_20181210.35.1,Spike Length_20181122.59.1,Spike Length_20181204.31.1,Spike Length_20181210.36.1,Photo_20181129.60.1,Photo_20181204.32.1,seed weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1
280588,3,9,67,SUNELG,ST50PKT0YJH6,1C9,ST50PT0W433,,,20180817,8,,,22,,,492,,,6,,,3,,,94,,,,,5.84,20180413,20180613
280589,3,10,4,GABO,ST50PKT0YJH5,1C10,ST50PT0W477,,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,NA,20180413,20180613
280590,3,11,102,BABAX,ST50PKT0YJH4,1C11,ST50PT0W3QH,,20180810,,9,,,17,,,576,,,5,,,2,,,88,,,,,3.14,20180413,20180613
280591,3,12,109,ED135,ST50PKT0YJH3,1C12,ST50PT0W3P4,,20180810,,8,,,15,,,393,,,7,,,1,,,68,,,,,11.73,20180413,20180613
280592,4,1,191,STRZELECKI,ST50PKT0YJH2,1D1,ST50PT0W36W,,20180810,,8,,,15,,,352,,,5,,,2,,,70,,,,,6.49,20180413,20180613
280593,4,2,286,CMSS97MOO316S-OP20M-OP20Y-43M-0Y,ST50PKT0YJH1,1D2,ST50PT0W2R7,,20180810,,9,,,16,,,550,,,4,,,0,,,88,,,,,7.63,20180413,20180613
280594,4,3,273,QUARRION,ST50PKT0YJH0,1D3,ST50PT0W2TR,,20180813,,9,,,17,,,339,,,7,,,1,,,74,,,,,5.87,20180413,20180613
280595,4,4,258,JUSTICA_CL_PLUS,ST50PKT0YJGZ,1D4,ST50PT0W2W1,,20180815,,9,,,18,,,433,,,4,,,4,,,76,,,,,3.8,20180413,20180613
280596,4,5,277,HARPER,ST50PKT0YJGY,1D5,ST50PT0W2SZ,,20180910,,11,,,16,,,586,,,5,,,4,,,74,,,,,8.83,20180413,20180613
280597,4,6,193,THORNBILL,ST50PKT0YJGX,1D6,ST50PT0W36H,,20180901,20180817,9,,,21,,,362,,,4,,,2,,,77,,,,,3.68,20180413,20180613
